JDK,GC_OPTS,VM_OPTS,PROG_OPTS,BINDING,DATA,RunTimestamp,Class,MedianRuntimeMs,Checksum,PerfRuntimeMs,JfrRuntimeMs,Instructions,Cycles,Branches,BranchMisses,L1Misses,LLCMisses,PageFaults,TaskClock,ContextSwitches,CpuMigrations,IPC,SecElapsed,SecUser,SecSys,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC040_ASetIsGoodEnough,77,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,68,61,1083429093,1194213292,207197462,10220679,32368347,21856549,10388,407306811,843,41,0.91,0.24,0.34,0.09,0,21854456,0,0,21854456,0,0,21854456,0,0,21854456,0,0,21854456,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC041_DirectUpdate,53,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,54,53,1073381550,1037246367,205594092,9957824,27054898,19626059,10353,352051487,862,16,1.03,0.21,0.28,0.09,0,21879992,0,0,21879992,0,0,21879992,0,0,21879992,0,0,21879992,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC042_NoSplittedString,51,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,56,67,1278163709,1222956282,240048264,11206723,33089320,22235585,12077,408156544,670,15,1.05,0.21,0.35,0.08,0,21876000,0,0,21876000,0,0,21876000,0,0,21876000,0,0,21876000,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC045_KeepChars,54,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,79,49,1112740071,1212278588,209557652,10206934,25960170,21040022,10332,431651222,889,35,0.92,0.26,0.36,0.10,0,21876104,0,0,21876104,0,0,21876104,0,0,21876104,0,0,21876104,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC047_IntOnly,50,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,53,58,1096566129,1046689484,206704461,9987188,27091120,20813487,10149,349627756,819,25,1.05,0.21,0.29,0.08,0,21851968,0,0,21851968,0,0,21851968,0,0,21851968,0,0,21851968,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC048_ImprovedStringHandling,59,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,74,77,1091478025,1154304520,208678765,10220083,31155456,22061511,10434,421303316,881,14,0.95,0.25,0.32,0.13,0,21876152,0,0,21876152,0,0,21876152,0,0,21876152,0,0,21876152,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC049_ManualMinMax,58,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,60,46,1128284321,1098697079,208278598,9964491,25954051,20577411,10415,402928481,850,13,1.03,0.23,0.32,0.10,0,21876160,0,0,21876160,0,0,21876160,0,0,21876160,0,0,21876160,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC050_LargerSet,55,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,56,67,1116744485,1079718591,206304307,9979830,27361667,20567897,10270,365932853,818,37,1.03,0.22,0.30,0.08,0,21876184,0,0,21876184,0,0,21876184,0,0,21876184,0,0,21876184,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC060_ReadingBytes,54,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,50,50,1111196628,1049945386,211668052,9844414,26769542,20169794,10369,353409127,792,14,1.06,0.20,0.28,0.09,0,21879984,0,0,21879984,0,0,21879984,0,0,21879984,0,0,21879984,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC061_RandomAccessFile,48,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,40,40,930982220,876701337,179348681,8878477,21751037,17545561,9683,327029577,561,12,1.06,0.21,0.26,0.10,0,21880016,0,0,21880016,0,0,21880016,0,0,21880016,0,0,21880016,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC063_OneAddLess,37,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,38,56,958586119,893022530,177643849,8754352,22621411,17422043,9734,294996596,526,8,1.07,0.19,0.24,0.07,0,21876240,0,0,21876240,0,0,21876240,0,0,21876240,0,0,21876240,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC065_OneLoopLess,66,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,87,69,952102594,1026056392,179747255,9519793,28520357,21588185,10175,629870980,592,28,0.93,0.38,0.52,0.16,0,21878896,0,0,21878896,0,0,21878896,0,0,21878896,0,0,21878896,0
