JDK,GC_OPTS,VM_OPTS,PROG_OPTS,BINDING,DATA,RunTimestamp,Class,MedianRuntimeMs,Checksum,PerfRuntimeMs,JfrRuntimeMs,Instructions,Cycles,Branches,BranchMisses,L1Misses,LLCMisses,PageFaults,TaskClock,ContextSwitches,CpuMigrations,IPC,SecElapsed,SecUser,SecSys,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC031_OpenMapLessCasting,52,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,55,70,1107955375,1045959137,211811081,10137504,28428256,20200733,10385,338923086,838,14,1.06,0.21,0.27,0.08,0,21876416,0,0,21876416,0,0,21876416,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC033_SimplerLambda,55,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,58,82,1119264203,1064484322,205500259,10078735,28467977,20022261,10461,367129403,777,15,1.05,0.23,0.30,0.10,0,21876200,0,0,21876200,0,0,21876200,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC035_NoLambda,57,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,56,55,1101985044,1053010742,203947860,10039610,26363724,20465753,10388,370881159,847,16,1.05,0.23,0.31,0.08,0,21876144,0,0,21876144,0,0,21876144,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC036_TurnedIfs,58,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,75,55,1135991095,1164013788,207293880,10606389,33730970,21967409,10453,425864875,834,20,0.98,0.24,0.35,0.10,0,21880056,0,0,21880056,0,0,21880056,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC037_LessNullChecks,53,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,66,67,1096711754,1170687639,208961374,10348171,32257718,21463382,10459,423455990,845,34,0.94,0.26,0.34,0.10,0,21880224,0,0,21880224,0,0,21880224,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC040_ASetIsGoodEnough,52,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,54,60,1075501461,1049789989,209170466,10169773,29028321,20201975,10404,353464154,880,17,1.02,0.22,0.28,0.09,0,21877680,0,0,21877680,0,0,21877680,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC041_DirectUpdate,63,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,61,53,1105329254,1109254084,203849513,9973226,29089748,20777307,10313,421835252,833,38,1.00,0.27,0.35,0.10,0,21878896,0,0,21878896,0,0,21878896,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC042_NoSplittedString,68,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,57,50,1094221854,1047345810,207934947,9779302,25834595,19877081,10140,379229191,807,10,1.04,0.24,0.31,0.10,0,21880064,0,0,21880064,0,0,21880064,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC045_KeepChars,51,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,51,51,1103860292,1036053433,199077563,10059554,27471494,19823807,10170,341699821,798,14,1.07,0.21,0.27,0.10,0,21878728,0,0,21878728,0,0,21878728,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC047_IntOnly,53,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,54,68,1110019332,1020746674,198119458,9965299,26934488,19360386,10176,344764369,797,11,1.09,0.21,0.28,0.08,0,21876056,0,0,21876056,0,0,21876056,0
